,lable,timesubmit,idemail,username,note,timeuse,address,Body,maintenance
413,account|pending payment|other|other,1704880013.2661176,tony90,tony,,10,other|other|other|other,"PAYMENT SENT
Reference no. D0176175375
Amount: $590.00
To: DEFT PAYMENT SYSTEMS-RENT
DEFT PAYMENT SYSTEMS-RENT
Biller code: 0000004481
Ref: 0048270367
When: Today, 9 Nov 2023

<cid:773314598891347659354500>

",account
414,portfolia management|routine inspection|reminder|other,1704880087.233387,tony91,tony,,73,other|other|other|other,"Hi Amit Aggarwal & Parul Singh

Hope all is well.

As previously notified, this is a courtesy reminder regarding the routine inspection scheduled for 13/11/2023 01:15PM - 03:30PM.

The inspector will knock on the door before entering but access your property using our office keys if no one provides access.

In any case, the attending staff will attempt to cause minimal disturbance during the inspection and exit in the same manner the way we entered.


Once again, please contact Steven Wei on 0419204221 or stevenwei@pia.com.au if you have any enquiry in relation to this inspection.

Your landlord would like to thank you in advance for the cooperation.

Hope this information assists!! 

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au



<cid:embed-image17f6fc9eee5e4eafa522f9a9ad070ed8>

",portfolia management
415,portfolia management|routine inspection|reminder|other,1704880105.8891943,tony92,tony,,18,other|other|other|other,"Hi Bing Zhao & Yu Chen

Hope all is well.

As previously notified, this is a courtesy reminder regarding the routine inspection scheduled for 13/11/2023 01:15PM - 03:30PM.

The inspector will knock on the door before entering but access your property using our office keys if no one provides access.

In any case, the attending staff will attempt to cause minimal disturbance during the inspection and exit in the same manner the way we entered.


Once again, please contact Steven Wei on 0419204221 or stevenwei@pia.com.au if you have any enquiry in relation to this inspection.

Your landlord would like to thank you in advance for the cooperation.

Hope this information assists!! 

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au



<cid:embed-imageae1c34ab34934c1cbc0dbed64a1cadf5>

",portfolia management
416,portfolia management|routine inspection|reminder|other,1704880150.8498192,tony93,tony,,44,other|other|other|other,"Hi Sreekanth Sreedharan Pillai Rajeswari Amma & Mahitha Mohan

Hope all is well.

As previously notified, this is a courtesy reminder regarding the routine inspection scheduled for 13/11/2023 01:15PM - 03:30PM.

The inspector will knock on the door before entering but access your property using our office keys if no one provides access.

In any case, the attending staff will attempt to cause minimal disturbance during the inspection and exit in the same manner the way we entered.


Once again, please contact Steven Wei on 0419204221 or stevenwei@pia.com.au if you have any enquiry in relation to this inspection.

Your landlord would like to thank you in advance for the cooperation.

Hope this information assists!! 

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au



<cid:embed-image4d9738a5fe0440ce95830b2018896941>

",portfolia management
417,portfolia management|routine inspection|reminder|other,1704880173.343327,tony94,tony,,22,other|other|other|other,"Hi Mohammadreza Mokaramighartavol

Hope all is well.

As previously notified, this is a courtesy reminder regarding the routine inspection scheduled for 13/11/2023 01:15PM - 03:30PM.

The inspector will knock on the door before entering but access your property using our office keys if no one provides access.

In any case, the attending staff will attempt to cause minimal disturbance during the inspection and exit in the same manner the way we entered.


Once again, please contact Steven Wei on 0419204221 or stevenwei@pia.com.au if you have any enquiry in relation to this inspection.

Your landlord would like to thank you in advance for the cooperation.

Hope this information assists!! 

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au



<cid:embed-imaged987c331f4a54bba8213b66b4f50f0ff>

",portfolia management
418,portfolia management|routine inspection|reminder|other,1704880197.1376858,tony95,tony,,23,other|other|other|other,"Hi Timothy William Fraser & Maryanne Elizabeth Harvey

Hope all is well.

As previously notified, this is a courtesy reminder regarding the routine inspection scheduled for 13/11/2023 01:15PM - 03:30PM.

The inspector will knock on the door before entering but access your property using our office keys if no one provides access.

In any case, the attending staff will attempt to cause minimal disturbance during the inspection and exit in the same manner the way we entered.


Once again, please contact Steven Wei on 0419204221 or stevenwei@pia.com.au if you have any enquiry in relation to this inspection.

Your landlord would like to thank you in advance for the cooperation.

Hope this information assists!! 

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au



<cid:embed-image44d3bc6a3b9f4df0a1612f9c44b912c8>

",portfolia management
419,portfolia management|routine inspection|reminder|other,1704880239.158602,tony96,tony,,41,other|other|other|other,"Hi Jinsung Kim

Hope all is well.

As previously notified, this is a courtesy reminder regarding the routine inspection scheduled for 13/11/2023 01:15PM - 03:30PM.

The inspector will knock on the door before entering but access your property using our office keys if no one provides access.

In any case, the attending staff will attempt to cause minimal disturbance during the inspection and exit in the same manner the way we entered.


Once again, please contact Steven Wei on 0419204221 or stevenwei@pia.com.au if you have any enquiry in relation to this inspection.

Your landlord would like to thank you in advance for the cooperation.

Hope this information assists!! 

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au



<cid:embed-imagee5c8ea0de0f3489880e772c470d705cf>

",portfolia management
420,account|pending payment|other|other,1704880265.1431441,tony97,tony,,25,other|other|other|other,"Hi Tony Jiayu Wang, 
We have received a rent payment $1,080.00 on 2023-11-10 for tenant of Lot 284, Unit 806/2 River Road West, Parramatta NSW 2150 [Yue HU] [RIVI906A] which does not equal to period amount.
Kindly please follow up the payment with tenant .
",account
421,account|pending payment|other|other,1704880295.587623,tony98,tony,,30,other|other|other|other,"Hi Tony Jiayu Wang, 
We have received a rent payment $1,100.00 on 2023-11-10 for tenant of Lot 202, Unit 616C/3 Broughton Street, Parramatta NSW 2150 [Naseer QURISHI] which does not equal to period amount.
Kindly please follow up the payment with tenant .
",account
422,leasing|holding deposit received|other|other,1704880323.7800653,tony99,tony,,28,other|other|other|other,"RE: Holding Deposit Received 


Dear Prem Bahadur Khatri, Ishwori BISTA,


Thank you for your payment of $820.00 as the holding deposit. Unit 805, 26 Levey Street, Wolli Creek NSW 2205 has been reserved for you. 

If you'd like to lodge the bond online by yourself, please contact your leasing manager to obtain a link, or we will help you to lodge the bond. 

Attached, please find the Tenant Information Statement. 

Should you have any questions in relation to the statement, please contact your leasing manager or consult with him/her upon signing the Tenancy Agreement. 

Your Leasing Manager will follow this up with you shortly. 



Best Regards,


Leasing Team
The Property Investors Alliance


",leasing
423,other|other|other|other,1704880334.9460526,tony100,tony,,11,other|other|other|other,"


-- 













Kind Regards,

Sonia Cheung

Office Administration & Reception 

T 02 9192 2800 ext. 610 | E soniacheung@pia.com.au<mailto:soniacheung@pia.com.au> 

A 2 Australia Avenue, Sydney Olympic Park NSW 2127

[unnamed<cid:image002.jpg@01D934AF.3D80E980>]





Please note: The information contained in this email communication may be confidential. If you are not the intended

recipient of this email communication, please notify the sender of its incorrect delivery, and then destroy any electronic

or paper copy of this message.














",other
424,other|other|other|other,1704880365.3722868,tony101,tony,,30,other|other|other|other,"-- reply above this line --


Dear Tony, 
A request for support has been created and assigned #PIAPM012652. A representative will follow-up as soon as possible. 




Your Helpdesk Team, 


If you wish to provide additional comments or information regarding the issue, please reply to this email for a complete archive of your support requests.

",other
425,other|other|other|other,1704880376.173985,tony103,tony,,10,other|other|other|other,"Dear Kumar Gaurav,

Thank you for reaching out. 

Please find attached rental ledger.

If you require any further assistance, please do not hesitate to contact me.


Kind Regards,


Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

<cid:embed-image2c2bc3604e7d4144a4bd7c23183e1951>






From: <mailto:seengaurav@gmail.com>seengaurav@gmail.com<mailto:seengaurav@gmail.com> seengaurav@gmail.com<mailto:seengaurav@gmail.com>>
Sent: Thursday, 9 November 2023 6:22 PM
To: 'Tony Jiayu Wang' tonywang@pia.com.au<mailto:tonywang@pia.com.au>>
Subject: RE: Unit 29/20-24 Sorrell St, PARRAMATTA - Payment Received.



 

Hi Tony,

 

Please can you send me the updated ledger?

 

Regards

Kumar Gaurav

+61 481014260 (Australia)

 

",other
426,strata|notice to resident|other|other,1704880411.7009618,tony104,tony,,35,other|other|other|other,"Dear Najmehsadat Asadi,

I hope this email finds you well.

We would like to bring your attention to the following notice from the strata.

Please note that this is a general notice from strata. If the content is not relevant to your residence, please disregard this email.


Thank you for your attention to this matter.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

<cid:embed-image389c158133b841e8ac9680c76869a7b9>




From: pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>
<pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>> On
Behalf Of Infinity Building Management
Sent: Friday, 10 November 2023 3:06 PM
To: Leiwei Ma <andyfeng@pia.com.au<mailto:andyfeng@pia.com.au>>
Subject: Illegal use of Storage cage - 1 Thallon Street, Carlingford

 

dear All residents, 

I have been advised by one of the residents that someone is using unit 226
storage cage. If this is your items inside, can you please remove them as soon
as possible. If these items are not removed by 15/11/23 the owners will remove
them themselves. 

Kind Regards,

INFINITY Building Management

infinity@centralfacility.com.au<mailto:infinity@centralfacility.com.au>



Ph: 0481 000 039

",strata
427,strata|notice to resident|other|other,1704880444.8746088,tony105,tony,,33,other|other|other|other,"Dear Muhammad Azeem,

I hope this email finds you well.

We would like to bring your attention to the following notice from the strata.

Please note that this is a general notice from strata. If the content is not relevant to your residence, please disregard this email.


Thank you for your attention to this matter.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

<cid:embed-image1a9fd22734ad4350ad1b401548598747>




From: pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>
<pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>> On
Behalf Of Infinity Building Management
Sent: Friday, 10 November 2023 3:06 PM
To: Leiwei Ma <andyfeng@pia.com.au<mailto:andyfeng@pia.com.au>>
Subject: Illegal use of Storage cage - 1 Thallon Street, Carlingford

 

dear All residents, 

I have been advised by one of the residents that someone is using unit 226
storage cage. If this is your items inside, can you please remove them as soon
as possible. If these items are not removed by 15/11/23 the owners will remove
them themselves. 

Kind Regards,

INFINITY Building Management

infinity@centralfacility.com.au<mailto:infinity@centralfacility.com.au>



Ph: 0481 000 039

",strata
428,strata|notice to resident|other|other,1704880456.1687982,tony106,tony,,11,other|other|other|other,"Dear Inho Kim,

I hope this email finds you well.

We would like to bring your attention to the following notice from the strata.

Please note that this is a general notice from strata. If the content is not relevant to your residence, please disregard this email.


Thank you for your attention to this matter.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

<cid:embed-image4da676f14d7c440383ae6351798979ef>




From: pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>
<pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>> On
Behalf Of Infinity Building Management
Sent: Friday, 10 November 2023 3:06 PM
To: Leiwei Ma <andyfeng@pia.com.au<mailto:andyfeng@pia.com.au>>
Subject: Illegal use of Storage cage - 1 Thallon Street, Carlingford

 

dear All residents, 

I have been advised by one of the residents that someone is using unit 226
storage cage. If this is your items inside, can you please remove them as soon
as possible. If these items are not removed by 15/11/23 the owners will remove
them themselves. 

Kind Regards,

INFINITY Building Management

infinity@centralfacility.com.au<mailto:infinity@centralfacility.com.au>



Ph: 0481 000 039

",strata
429,strata|notice to resident|other|other,1704880476.7346466,tony107,tony,,20,other|other|other|other,"Dear Bolormaa Nyamdavaa & Mungunjiguur Altantsetseg,

I hope this email finds you well.

We would like to bring your attention to the following notice from the strata.

Please note that this is a general notice from strata. If the content is not relevant to your residence, please disregard this email.


Thank you for your attention to this matter.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

<cid:embed-image4b524f56b39c4fc89145510e8d48d699>




From: pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>
<pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>> On
Behalf Of Infinity Building Management
Sent: Friday, 10 November 2023 3:06 PM
To: Leiwei Ma <andyfeng@pia.com.au<mailto:andyfeng@pia.com.au>>
Subject: Illegal use of Storage cage - 1 Thallon Street, Carlingford

 

dear All residents, 

I have been advised by one of the residents that someone is using unit 226
storage cage. If this is your items inside, can you please remove them as soon
as possible. If these items are not removed by 15/11/23 the owners will remove
them themselves. 

Kind Regards,

INFINITY Building Management

infinity@centralfacility.com.au<mailto:infinity@centralfacility.com.au>



Ph: 0481 000 039

",strata
430,strata|notice to resident|other|other,1704880493.9753103,tony108,tony,,17,other|other|other|other,"Dear Sidra Bilal & Muhammad Bilal Anwar,

I hope this email finds you well.

We would like to bring your attention to the following notice from the strata.

Please note that this is a general notice from strata. If the content is not relevant to your residence, please disregard this email.


Thank you for your attention to this matter.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

<cid:embed-image99f99c488e124214b40288e7130077d9>




From: pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>
<pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>> On
Behalf Of Infinity Building Management
Sent: Friday, 10 November 2023 3:06 PM
To: Leiwei Ma <andyfeng@pia.com.au<mailto:andyfeng@pia.com.au>>
Subject: Illegal use of Storage cage - 1 Thallon Street, Carlingford

 

dear All residents, 

I have been advised by one of the residents that someone is using unit 226
storage cage. If this is your items inside, can you please remove them as soon
as possible. If these items are not removed by 15/11/23 the owners will remove
them themselves. 

Kind Regards,

INFINITY Building Management

infinity@centralfacility.com.au<mailto:infinity@centralfacility.com.au>



Ph: 0481 000 039

",strata
431,strata|notice to resident|other|other,1704880516.9834073,tony109,tony,,22,other|other|other|other,"Dear Young Mi Choi,

I hope this email finds you well.

We would like to bring your attention to the following notice from the strata.

Please note that this is a general notice from strata. If the content is not relevant to your residence, please disregard this email.


Thank you for your attention to this matter.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

<cid:embed-imagee99336b18069461eb7e3d6e57faba0f2>




From: pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>
<pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>> On
Behalf Of Infinity Building Management
Sent: Friday, 10 November 2023 3:06 PM
To: Leiwei Ma <andyfeng@pia.com.au<mailto:andyfeng@pia.com.au>>
Subject: Illegal use of Storage cage - 1 Thallon Street, Carlingford

 

dear All residents, 

I have been advised by one of the residents that someone is using unit 226
storage cage. If this is your items inside, can you please remove them as soon
as possible. If these items are not removed by 15/11/23 the owners will remove
them themselves. 

Kind Regards,

INFINITY Building Management

infinity@centralfacility.com.au<mailto:infinity@centralfacility.com.au>



Ph: 0481 000 039

",strata
432,strata|notice to resident|other|other,1704880530.2240915,tony110,tony,,13,other|other|other|other,"Dear Liwei Ma,

I hope this email finds you well.

We would like to bring your attention to the following notice from the strata.

Please note that this is a general notice from strata. If the content is not relevant to your residence, please disregard this email.


Thank you for your attention to this matter.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

<cid:embed-imagef614ab7eb3154f3d895d17eabd423635>




From: pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>
<pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>> On
Behalf Of Infinity Building Management
Sent: Friday, 10 November 2023 3:06 PM
To: Leiwei Ma <andyfeng@pia.com.au<mailto:andyfeng@pia.com.au>>
Subject: Illegal use of Storage cage - 1 Thallon Street, Carlingford

 

dear All residents, 

I have been advised by one of the residents that someone is using unit 226
storage cage. If this is your items inside, can you please remove them as soon
as possible. If these items are not removed by 15/11/23 the owners will remove
them themselves. 

Kind Regards,

INFINITY Building Management

infinity@centralfacility.com.au<mailto:infinity@centralfacility.com.au>



Ph: 0481 000 039

",strata
433,strata|notice to resident|other|other,1704880566.8339603,tony111,tony,,36,other|other|other|other,"Dear Hammad Aziz Khan & Shabana Hammad,

I hope this email finds you well.

We would like to bring your attention to the following notice from the strata.

Please note that this is a general notice from strata. If the content is not relevant to your residence, please disregard this email.


Thank you for your attention to this matter.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

<cid:embed-imagedf64b5f710f042f185bff09b6e23fa32>




From: pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>
<pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>> On
Behalf Of Infinity Building Management
Sent: Friday, 10 November 2023 3:06 PM
To: Leiwei Ma <andyfeng@pia.com.au<mailto:andyfeng@pia.com.au>>
Subject: Illegal use of Storage cage - 1 Thallon Street, Carlingford

 

dear All residents, 

I have been advised by one of the residents that someone is using unit 226
storage cage. If this is your items inside, can you please remove them as soon
as possible. If these items are not removed by 15/11/23 the owners will remove
them themselves. 

Kind Regards,

INFINITY Building Management

infinity@centralfacility.com.au<mailto:infinity@centralfacility.com.au>



Ph: 0481 000 039

",strata
434,strata|notice to resident|other|other,1704880586.125921,tony112,tony,,19,other|other|other|other,"Dear Brett Macinnes & ALEXANDRA ELISE PLENGE CHAN,

I hope this email finds you well.

We would like to bring your attention to the following notice from the strata.

Please note that this is a general notice from strata. If the content is not relevant to your residence, please disregard this email.


Thank you for your attention to this matter.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

<cid:embed-imageaee355bbeb264bc09e2b81bef932b71e>




From: pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>
<pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>> On
Behalf Of Infinity Building Management
Sent: Friday, 10 November 2023 3:06 PM
To: Leiwei Ma <andyfeng@pia.com.au<mailto:andyfeng@pia.com.au>>
Subject: Illegal use of Storage cage - 1 Thallon Street, Carlingford

 

dear All residents, 

I have been advised by one of the residents that someone is using unit 226
storage cage. If this is your items inside, can you please remove them as soon
as possible. If these items are not removed by 15/11/23 the owners will remove
them themselves. 

Kind Regards,

INFINITY Building Management

infinity@centralfacility.com.au<mailto:infinity@centralfacility.com.au>



Ph: 0481 000 039

",strata
435,strata|notice to resident|other|other,1704880615.7319546,tony113,tony,,29,other|other|other|other,"Dear Amir Vakilivarzaghani & Leo Smith,

I hope this email finds you well.

We would like to bring your attention to the following notice from the strata.

Please note that this is a general notice from strata. If the content is not relevant to your residence, please disregard this email.


Thank you for your attention to this matter.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

<cid:embed-image8156c10642ba461cbc678be0cf78c815>




From: pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>
<pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>> On
Behalf Of Infinity Building Management
Sent: Friday, 10 November 2023 3:06 PM
To: Leiwei Ma <andyfeng@pia.com.au<mailto:andyfeng@pia.com.au>>
Subject: Illegal use of Storage cage - 1 Thallon Street, Carlingford

 

dear All residents, 

I have been advised by one of the residents that someone is using unit 226
storage cage. If this is your items inside, can you please remove them as soon
as possible. If these items are not removed by 15/11/23 the owners will remove
them themselves. 

Kind Regards,

INFINITY Building Management

infinity@centralfacility.com.au<mailto:infinity@centralfacility.com.au>



Ph: 0481 000 039

",strata
436,strata|notice to resident|other|other,1704880627.9248207,tony114,tony,,12,other|other|other|other,"Dear Asad Ahmed Siddiqui,

I hope this email finds you well.

We would like to bring your attention to the following notice from the strata.

Please note that this is a general notice from strata. If the content is not relevant to your residence, please disregard this email.


Thank you for your attention to this matter.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

<cid:embed-imagef929f700a1294731baf49c41879b36c0>




From: pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>
<pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>> On
Behalf Of Infinity Building Management
Sent: Friday, 10 November 2023 3:06 PM
To: Leiwei Ma <andyfeng@pia.com.au<mailto:andyfeng@pia.com.au>>
Subject: Illegal use of Storage cage - 1 Thallon Street, Carlingford

 

dear All residents, 

I have been advised by one of the residents that someone is using unit 226
storage cage. If this is your items inside, can you please remove them as soon
as possible. If these items are not removed by 15/11/23 the owners will remove
them themselves. 

Kind Regards,

INFINITY Building Management

infinity@centralfacility.com.au<mailto:infinity@centralfacility.com.au>



Ph: 0481 000 039

",strata
437,strata|notice to resident|other|other,1704880650.0742912,tony115,tony,,22,other|other|other|other,"Dear Mehdi Fatehi,

I hope this email finds you well.

We would like to bring your attention to the following notice from the strata.

Please note that this is a general notice from strata. If the content is not relevant to your residence, please disregard this email.


Thank you for your attention to this matter.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

<cid:embed-image58201868b5374015adb374a75453a37f>




From: pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>
<pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>> On
Behalf Of Infinity Building Management
Sent: Friday, 10 November 2023 3:06 PM
To: Leiwei Ma <andyfeng@pia.com.au<mailto:andyfeng@pia.com.au>>
Subject: Illegal use of Storage cage - 1 Thallon Street, Carlingford

 

dear All residents, 

I have been advised by one of the residents that someone is using unit 226
storage cage. If this is your items inside, can you please remove them as soon
as possible. If these items are not removed by 15/11/23 the owners will remove
them themselves. 

Kind Regards,

INFINITY Building Management

infinity@centralfacility.com.au<mailto:infinity@centralfacility.com.au>



Ph: 0481 000 039

",strata
438,strata|notice to resident|other|other,1704880680.2300744,tony116,tony,,30,other|other|other|other,"Dear Juhyun Mun & Jun Yung,

I hope this email finds you well.

We would like to bring your attention to the following notice from the strata.

Please note that this is a general notice from strata. If the content is not relevant to your residence, please disregard this email.


Thank you for your attention to this matter.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

<cid:embed-image3877a85afba246d99f425519c1032d52>




From: pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>
<pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>> On
Behalf Of Infinity Building Management
Sent: Friday, 10 November 2023 3:06 PM
To: Leiwei Ma <andyfeng@pia.com.au<mailto:andyfeng@pia.com.au>>
Subject: Illegal use of Storage cage - 1 Thallon Street, Carlingford

 

dear All residents, 

I have been advised by one of the residents that someone is using unit 226
storage cage. If this is your items inside, can you please remove them as soon
as possible. If these items are not removed by 15/11/23 the owners will remove
them themselves. 

Kind Regards,

INFINITY Building Management

infinity@centralfacility.com.au<mailto:infinity@centralfacility.com.au>



Ph: 0481 000 039

",strata
439,strata|notice to resident|other|other,1704880713.2035592,tony117,tony,,32,other|other|other|other,"Dear Hadi Ahankoob,

I hope this email finds you well.

We would like to bring your attention to the following notice from the strata.

Please note that this is a general notice from strata. If the content is not relevant to your residence, please disregard this email.


Thank you for your attention to this matter.

Kind Regards,

Tony, Jiayu Wang
Team Leader of Amazing Team
Executive Senior Partner, Property Management
Property Management Department
[T]: 02 9192 2800 - ext. 561
[D]: 02 9192 2828 (PMD Enquiry)
[M]: 0408 419 131
[E]: tonywang@pia.com.au

<cid:embed-image0212ec6d24b84b969d87150c0701cf7b>




From: pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>
<pmdadmin@pia.com.au<mailto:pmdadmin@pia.com.au>> On
Behalf Of Infinity Building Management
Sent: Friday, 10 November 2023 3:06 PM
To: Leiwei Ma <andyfeng@pia.com.au<mailto:andyfeng@pia.com.au>>
Subject: Illegal use of Storage cage - 1 Thallon Street, Carlingford

 

dear All residents, 

I have been advised by one of the residents that someone is using unit 226
storage cage. If this is your items inside, can you please remove them as soon
as possible. If these items are not removed by 15/11/23 the owners will remove
them themselves. 

Kind Regards,

INFINITY Building Management

infinity@centralfacility.com.au<mailto:infinity@centralfacility.com.au>



Ph: 0481 000 039

",strata
